Follower Athlete ID,Follow Status,Created At
123963,Accepted,"Aug 9, 2011, 2:51:30 PM"
106036,Accepted,"Aug 9, 2011, 2:57:21 PM"
123456,Accepted,"Aug 17, 2011, 2:13:39 PM"
404661,Accepted,"May 4, 2012, 10:46:52 PM"
667506,Accepted,"Jun 22, 2012, 6:01:52 PM"
1044776,Accepted,"Aug 30, 2012, 6:41:58 PM"
1356117,Accepted,"Nov 22, 2012, 3:04:50 PM"
830691,Accepted,"Mar 26, 2013, 4:05:51 PM"
2419671,Accepted,"Jun 30, 2013, 2:10:40 PM"
127713,Accepted,"Jul 14, 2013, 7:37:18 PM"
3171995,Accepted,"Nov 4, 2013, 6:48:08 PM"
4134179,Accepted,"Apr 3, 2014, 1:14:27 AM"
9444997,Accepted,"Jun 7, 2015, 3:25:11 AM"
17461423,Accepted,"Sep 10, 2016, 5:11:47 PM"
749766,Accepted,"Sep 18, 2016, 4:39:01 PM"
775616,Accepted,"Nov 1, 2016, 12:40:25 PM"
19004859,Accepted,"Feb 25, 2017, 11:37:04 PM"
17217691,Accepted,"Apr 4, 2017, 5:34:44 PM"
10080638,Accepted,"Aug 20, 2017, 3:56:47 AM"
13949973,Accepted,"Oct 5, 2017, 10:50:01 PM"
13909924,Accepted,"Nov 30, 2017, 5:16:33 PM"
10061009,Accepted,"Mar 19, 2018, 5:53:41 PM"
3758684,Accepted,"May 10, 2018, 3:49:09 AM"
22662973,Accepted,"Aug 11, 2018, 10:34:42 PM"
37524707,Accepted,"Dec 29, 2018, 2:08:53 PM"
49136204,Accepted,"Feb 17, 2020, 4:29:40 AM"
35907678,Accepted,"May 13, 2020, 3:39:08 PM"
76201,Accepted,"May 16, 2020, 11:59:53 PM"
27500087,Accepted,"May 17, 2020, 3:10:38 AM"
4656619,Accepted,"May 18, 2020, 3:48:32 AM"
58873413,Accepted,"May 21, 2020, 7:49:36 PM"
2123787,Accepted,"May 23, 2020, 3:39:59 AM"
20648676,Accepted,"May 24, 2020, 1:08:54 AM"
3808985,Accepted,"Jun 23, 2020, 3:09:13 AM"
49147296,Accepted,"Jul 8, 2020, 10:45:10 PM"
24874732,Accepted,"Jul 27, 2020, 2:13:11 AM"
